Aachen,D,"Nordrhein Westfalen",247113,NULL,NULL
Aalborg,DK,Denmark,113865,10,57
Aarau,CH,AG,NULL,NULL,NULL
Aarhus,DK,Denmark,194345,10.1,56.1
Aarri,WAN,Nigeria,111000,NULL,NULL
Aba,WAN,Nigeria,264000,NULL,NULL
Abakan,R,"Rep. of Khakassiya",161000,NULL,NULL
Abancay,PE,Apurimac,NULL,NULL,NULL
Abeokuta,WAN,Nigeria,377000,NULL,NULL
Aberdeen,GB,Grampian,219100,NULL,NULL
Aberystwyth,GB,Ceredigion,NULL,NULL,NULL
Abidjan,CI,"Cote dIvoire",NULL,-3.6,5.3
Abilene,USA,Texas,108476,-99.6833,32.4167
"Abu Dhabi",UAE,"United Arab Emirates",363432,54.36,24.27
Abuja,WAN,Nigeria,NULL,NULL,NULL
Acapulco,MEX,Guerrero,515374,NULL,NULL
Acarigua,YV,Portuguesa,116551,NULL,NULL
Accra,GH,Ghana,867459,-0.2,5.55
Acheng,TJ,Heilongjiang,197595,NULL,NULL
Achinsk,R,"Krasnoyarskiy kray",123000,NULL,NULL
"ad Damir",SUD,"ash Shamaliyah",NULL,NULL,NULL
"Ad Diwaniyah",IRQ,"Al Qadisiyah",NULL,NULL,NULL
Adana,TR,Adana,1047300,35.3,36.9833
Adapazari,TR,Kocaeli,186000,NULL,NULL
"Addis Ababa",ETH,Ethiopia,2316400,38.75,9
Adelaide,AUS,"South Australia",1050000,138.583,-34.9333
Adiyaman,TR,Adiyaman,128000,NULL,NULL
"Ado Ekiti",WAN,Nigeria,317000,NULL,NULL
Afyon,TR,Afyon,NULL,NULL,NULL
Agadir,MA,Morocco,550200,NULL,NULL
Agartala,IND,Tripura,NULL,91.2,23.5
Agra,IND,"Uttar Pradesh",891790,NULL,NULL
Agri,TR,Agri,NULL,NULL,NULL
Aguascalientes,MEX,Aguascalientes,440425,-102.2,21.5
Ahmadabad,IND,Gujarat,2954526,NULL,NULL
Ahuachapan,ES,"El Salvador",NULL,NULL,NULL
Ahvaz,IR,Khuzestan,828380,48.4,31.2
Aijal,IND,Mizoram,NULL,92.4,23.4
"Aix en Provence",F,"Provence Cote dAzur",123842,NULL,NULL
Ajaccio,F,Corse,53500,8.4,41.4
Ajmer,IND,Rajasthan,402700,NULL,NULL
Akita,J,Akita,NULL,NULL,NULL
Akron,USA,Ohio,216882,NULL,NULL
Aksaray,TR,Aksaray,NULL,NULL,NULL
Aksu,TJ,"Xinjiang Uygur",164092,NULL,NULL
Akure,WAN,Nigeria,143000,NULL,NULL
Akureyri,IS,Iceland,13000,18.3,65.4
Akyab,MYA,Rakhine,107600,NULL,NULL
"Al Amarah",IRQ,Maysan,208797,NULL,NULL
"Al Ayn",UAE,"United Arab Emirates",176441,NULL,NULL
"Al Basrah",IRQ,"Al Basrah",406296,NULL,NULL
"al Fasher",SUD,Darfur,NULL,NULL,NULL
"Al Hillah",IRQ,Babil,268834,NULL,NULL
"Al Kut",IRQ,Wasit,183183,NULL,NULL
"Al Mawsil",IRQ,Ninawa,NULL,NULL,NULL
"al Qadarif",SUD,"ash Sharqiyah",189384,NULL,NULL
"al Ubayyid",SUD,Kurdufan,228096,NULL,NULL
Alacant,E,Valencia,274964,NULL,NULL
Alagoinhas,BR,Bahia,122882,NULL,NULL
Alajuela,CR,Alajuela,158300,NULL,NULL
"Alba Iulia",RO,Alba,NULL,NULL,NULL
Albacete,E,"Castile and Leon",141179,NULL,NULL
Albany,AUS,"Western Australia",NULL,118,-35
Albany,USA,"New York",103564,-73.75,42.65
Albuquerque,USA,"New Mexico",419681,NULL,NULL
"Alcala de Henares",E,Madrid,166250,NULL,NULL
Alcorcon,E,Madrid,142165,NULL,NULL
Aleppo,SYR,Syria,976727,36,36
Alexandra,RSA,"South Africa",125000,NULL,NULL
Alexandria,ET,"El Iskandariya (munic.)",2917000,30,31
Alexandria,RO,Teleorman,NULL,NULL,NULL
Alexandria,USA,Virginia,117586,NULL,NULL
Algeciras,E,Andalusia,103787,NULL,NULL
Algiers,DZ,Algeria,1507241,30.05,36.7667
Aligarh,IND,"Uttar Pradesh",480520,NULL,NULL
Allahabad,IND,"Uttar Pradesh",806486,NULL,NULL
Allentown,USA,Pennsylvania,102211,-75.4333,40.65
Almada,P,Lisbon,42607,NULL,NULL
Almaty,KAZ,"Almaty (munic.)",1172400,76.8833,43.2333
Almeria,E,Andalusia,167361,NULL,NULL
Almetyevsk,R,"Rep. of Tatarstan",138000,NULL,NULL
"Alor Setar",MAL,Kedah,125026,NULL,NULL
Altdorf,CH,UR,NULL,NULL,NULL
Amadora,P,Lisbon,95518,NULL,NULL
Amarillo,USA,Texas,169588,-100.7,35.2333
Amasya,TR,Amasya,NULL,NULL,NULL
Ambon,RI,Indonesia,276955,NULL,NULL
Americana,BR,"Sao Paulo",167901,NULL,NULL
Amiens,F,Picardie,131872,2.19,49.55
Amman,JOR,Jordan,777500,35.95,31.95
Amol,IR,Mazandaran,139923,NULL,NULL
Amravati,IND,Maharashtra,421576,NULL,NULL
Amritsar,IND,Punjab,708835,NULL,NULL
Amsterdam,NL,"Noord Holland",1101407,4.91667,52.3833
"An Najaf",IRQ,"An Najaf",309010,NULL,NULL
"An Nasiriyah",IRQ,"Dhi Qar",265937,NULL,NULL
Anadyr,R,"Chukotsky ao",NULL,NULL,NULL
Anaheim,USA,California,288945,NULL,NULL
Ananindeua,BR,Para,342905,NULL,NULL
Anapolis,BR,Goias,264873,NULL,NULL
Anchorage,USA,Alaska,250505,-150.017,61.1667
Ancona,I,Marche,103268,13.28,43.38
Anda,TJ,Heilongjiang,136446,NULL,NULL
Andijon,UZB,Andijon,303000,NULL,NULL
"Andorra la Vella",AND,Andorra,15600,1.3,42.3
Angarsk,R,"Irkutskaya oblast",267000,NULL,NULL
Angers,F,"Pays de la Loire",141404,NULL,NULL
Angren,UZB,Toshkent,132000,NULL,NULL
Anju,NOK,"North Korea",186000,NULL,NULL
Ankang,TJ,Shaanxi,142170,NULL,NULL
Ankara,TR,Ankara,2782200,32.8833,39.95
"Ann Arbor",USA,Michigan,108758,NULL,NULL
Annaba,DZ,Algeria,222518,NULL,NULL
Annapolis,USA,Maryland,31740,-76.3,39
Anqing,TJ,Anhui,250718,NULL,NULL
Anshan,TJ,Liaoning,1390000,NULL,NULL
Anshun,TJ,Guizhou,174142,NULL,NULL
Antakya,TR,Hatay,137200,NULL,NULL
Antalya,TR,Antalya,497200,NULL,NULL
Antananarivo,RM,Antananarivo,1250000,47.4,-18.6
Antsirabe,RM,Antananarivo,100000,NULL,NULL
Antsiranana,RM,Antsiranana,220000,NULL,NULL
Antwerp,B,Antwerp,459072,4.23,51.1
Anyang,TJ,Henan,420332,NULL,NULL
"Anzhero Sudzhensk",R,"Kemerovskaya oblast",101000,NULL,NULL
Aomori,J,Aomori,NULL,NULL,NULL
Aosta,I,"Valle dAosta",NULL,7.22,45.45
"Aparecida de Goiania",BR,"Sao Paulo",265446,NULL,NULL
Apia,WS,"Western Samoa",36000,-171,-12
Apopa,ES,"El Salvador",100763,NULL,NULL
Appenzell,CH,AI,NULL,NULL,NULL
Apucarana,BR,Parana,101005,NULL,NULL
Aqmola,KAZ,Aqmola,280200,NULL,NULL
Aqtau,KAZ,Mangghystau,151300,NULL,NULL
Aqtobe,KAZ,Aqtobe,258900,NULL,NULL
"Ar Ramadi",IRQ,"Al Anbar",192556,NULL,NULL
Aracaju,BR,Sergipe,426580,-37.1,-11
Aracatuba,BR,"Sao Paulo",162546,NULL,NULL
Arad,RO,Arad,191000,NULL,NULL
Araguaina,BR,Goias,105000,NULL,NULL
Arak,IR,Markazi,378597,NULL,NULL
Arapiraca,BR,Sergipe,173351,NULL,NULL
Araraquara,BR,"Sao Paulo",163831,NULL,NULL
Arauca,CO,Arauca,NULL,NULL,NULL
Ardabil,IR,"Azarbayian e Sharqi",329869,NULL,NULL
Arendal,N,"Aust Agder",12174,8.4,58.3
Arequipa,PE,Arequipa,619156,NULL,NULL
Arkhangelsk,R,"Arkhangelskaya oblast",374000,40.5333,64.55
Arlington,USA,Texas,294816,NULL,NULL
Arlington,USA,Virginia,175334,NULL,NULL
Arlon,B,Luxembourg,23150,5.5,49.4
Armavir,R,"Krasnodarsky kray",164000,NULL,NULL
Armenia,CO,Quindio,220303,NULL,NULL
Arnhem,NL,Gelderland,314159,NULL,NULL
Arqalyq,KAZ,Torghay,NULL,NULL,NULL
Artvin,TR,Artvin,NULL,NULL,NULL
Arusha,EAT,Arusha,134708,NULL,NULL
Arzamas,R,"Nizhegorodskaya oblast",112000,NULL,NULL
"As Samawah",IRQ,"Al Muthanna",NULL,NULL,NULL
"As Sulaymaniyah",IRQ,"As Sulaymaniyah",364096,NULL,NULL
Ashgabat,TM,Ahal,416400,58.2,37.58
Asmara,ER,Eritrea,NULL,38.9167,15.2833
Assen,NL,Drenthe,NULL,NULL,NULL
Astrakhan,R,"Astrakhanskaya oblast",486000,NULL,NULL
Asuncion,PY,Paraguay,729307,-57.3,-25.5
Aswan,ET,Aswan,196000,NULL,NULL
Asyut,ET,Asyut,291000,NULL,NULL
Athens,GR,Greece,885737,23.7167,37.9667
Atlanta,USA,Georgia,401907,-84.4,33.4
Atyrau,KAZ,Atyrau,146900,NULL,NULL
Auckland,NZ,"New Zealand",952600,175,-36
Augsburg,D,Bayern,262110,NULL,NULL
Augusta,USA,Maine,21819,-69.8,44.3167
Aurangabad,IND,Maharashtra,573272,NULL,NULL
Aurora,USA,Colorado,252341,NULL,NULL
Aurora,USA,Illinois,116405,-88.3333,41.75
Austin,USA,Texas,541278,-97.7,30.3
Avellaneda,RA,"Buenos Aires",346620,NULL,NULL
Ayacucho,PE,Ayacucho,105918,NULL,NULL
Aydin,TR,Aydin,121200,NULL,NULL
Aylesbury,GB,Buckinghamshire,151600,NULL,NULL
Babol,IR,Mazandaran,137348,NULL,NULL
Bacau,RO,Bacau,193000,NULL,NULL
Badajoz,E,Estremadura,130153,NULL,NULL
Badalona,E,Catalonia,219340,NULL,NULL
Bafoussam,CAM,Ouest,131000,NULL,NULL
Bage,BR,"Rio Grande do Sul",114091,NULL,NULL
Baghdad,IRQ,Baghdad,4478000,44.4,33.3333
Bago,MYA,Bago,150500,NULL,NULL
Bahawalpur,PK,Pakistan,180263,NULL,NULL
"Bahia Blanca",RA,"Buenos Aires",260096,NULL,NULL
"Bahir Dar",ETH,Ethiopia,115531,NULL,NULL
"Baia Mare",RO,Maramures,150000,NULL,NULL
Baicheng,TJ,Jilin,217987,NULL,NULL
Baiyin,TJ,Gansu,204970,NULL,NULL
Bakersfield,USA,California,205508,-119.05,35.4167
Bakhtaran,IR,Bakhtaran,665636,47.1,34.2
Baku,AZ,Azerbaijan,1740000,49.5,40.3
Balakovo,R,"Saratovskaya oblast",206000,NULL,NULL
Balashikha,R,"Moskovskaya oblast",136000,NULL,NULL
Balikesir,TR,Balikesir,187600,NULL,NULL
Balikpapan,RI,Indonesia,344405,NULL,NULL
Baltimore,USA,Maryland,675401,-76.4167,39.3333
Bamako,RMM,Mali,NULL,-7.6,12.3
Bamenda,CAM,Nordoueste,138000,NULL,NULL
"Banda Aceh",RI,Indonesia,184699,NULL,NULL
"Bandar Abbas",IR,Hormozgan,383515,NULL,NULL
"Bandar e Bushehr",IR,Bushehr,132824,NULL,NULL
"Bandar Lampung",RI,Indonesia,636706,NULL,NULL
"Bandar Seri Begawan",BRU,Brunei,56300,115,5
Bandundu,ZRE,Bandundu,NULL,NULL,NULL
Bandung,RI,Indonesia,2058649,107.4,-6.58
Bangalore,IND,Karnataka,3302296,77.6167,12.95
Bangkok,THA,Thailand,5876000,100.5,13.7333
Bangui,RCA,"Central African Republic",NULL,18.5,4.3
Banjarmasin,RI,Indonesia,481371,NULL,NULL
Banjul,WAG,Gambia,NULL,14,13.5
"Bantam Village",AUS,"Cocos Islands",NULL,NULL,NULL
Baoding,TJ,Hebei,483155,NULL,NULL
Baoji,TJ,Shaanxi,337765,NULL,NULL
Baotou,TJ,"Nei Monggol",1200000,NULL,NULL
Baqubah,IRQ,Diyala,114516,NULL,NULL
Baracaldo,E,Catalonia,103594,NULL,NULL
Barbacena,BR,"Minas Gerais",107843,NULL,NULL
Barcelona,E,Catalonia,1630867,2.15,41.4
Barcelona,YV,Anzoategui,221792,NULL,NULL
Bareilly,IND,"Uttar Pradesh",590661,NULL,NULL
Bari,I,Puglia,353032,16.5,41.8
Barinas,YV,Barinas,153630,NULL,NULL
Barisal,BD,Bangladesh,188000,NULL,NULL
Barnaul,R,"Altayskiy kray",596000,NULL,NULL
Barnsley,GB,"South Yorkshire",226500,NULL,NULL
Barquisimeto,YV,Lara,625450,NULL,NULL
"Barra Mansa",BR,"Rio de Janeiro",164768,NULL,NULL
Barrancabermeja,CO,"Santander del Sur",180653,NULL,NULL
Barranquilla,CO,Atlantico,1064255,NULL,NULL
Barreiras,BR,Bahia,113544,NULL,NULL
Barreiro,P,Lisbon,50863,NULL,NULL
Barretos,BR,"Sao Paulo",104782,NULL,NULL
Barry,GB,"Vale of Glamorgan",NULL,NULL,NULL
Barueri,BR,"Sao Paulo",176740,NULL,NULL
Baruta,YV,Miranda,182941,NULL,NULL
Basel,CH,BS,172768,NULL,NULL
Basildon,GB,Essex,161700,NULL,NULL
Basingstoke,GB,Hampshire,146500,NULL,NULL
Basseterre,KN,"Saint Kitts and Nevis",14700,-62.3,17
Batam,RI,Indonesia,106667,NULL,NULL
Batman,TR,Batman,182800,NULL,NULL
Batna,DZ,Algeria,181601,NULL,NULL
"Baton Rouge",USA,Louisiana,215882,-91.15,30.5333
Bauru,BR,"Sao Paulo",293026,NULL,NULL
Bayamo,C,Granma,137663,NULL,NULL
Bayburt,TR,Bayburt,NULL,NULL,NULL
Beaumont,USA,Texas,111224,-94.0167,29.95
Bechar,DZ,Algeria,107311,NULL,NULL
Bedford,GB,Bedfordshire,137300,NULL,NULL
"Beer Sheva",IL,South,NULL,NULL,NULL
Beian,TJ,Heilongjiang,204899,NULL,NULL
Beihai,TJ,"Guangxi Zhuangzu",112673,NULL,NULL
Beijing,TJ,"Beijing (munic.)",7000000,116.2,39.5
Beipiao,TJ,Liaoning,194301,NULL,NULL
Beira,MOC,Sofala,298847,NULL,NULL
Beirut,RL,Lebanon,702000,35.4667,33.9
Bejaia,DZ,Algeria,114534,NULL,NULL
